true_trees_all,true_trees_1_tips_err,inf_trees_all,inf_trees_1_tips_err,hgdp_all,hgdp_1_tips_err,tgp_all,tgp_1_tips_err
3.436995378361824144e-02,4.623030235536499527e-02,3.436995378361824144e-02,1.117545520351912736e-01,0.000000000000000000e+00,2.946000000000000008e-02,0.000000000000000000e+00,5.483999999999999986e-02
6.561194944039200339e-01,9.323737401859791829e-01,5.108998273845982707e-01,6.800211593073111072e-01,7.569200000000000372e-01,8.486099999999999755e-01,7.272999999999999465e-01,8.405399999999999539e-01
1.401943315329361450e-01,1.435213541956679127e-02,1.908931454980789533e-01,1.101119215991981787e-01,1.275499999999999967e-01,6.895999999999999353e-02,1.469300000000000050e-01,6.561000000000000165e-02
4.865248621860905620e-02,4.050893702321955656e-03,8.200623642741801389e-02,4.433710117489837732e-02,4.469000000000000056e-02,2.399000000000000091e-02,5.235999999999999682e-02,1.864000000000000032e-02
2.533548638565621611e-02,1.586948048332312462e-03,4.383595968595133119e-02,2.262096998719305072e-02,2.302999999999999839e-02,1.118000000000000070e-02,2.545000000000000040e-02,7.760000000000000404e-03
1.632886018152458416e-02,5.289826827774374513e-04,2.598975444067041715e-02,1.261206080516732476e-02,1.278999999999999929e-02,5.830000000000000113e-03,1.392000000000000008e-02,3.640000000000000006e-03
1.172114260259479908e-02,3.619355197950888310e-04,1.644022495684615073e-02,7.405757558884124535e-03,8.009999999999999759e-03,3.109999999999999917e-03,8.200000000000000691e-03,2.119999999999999923e-03
9.674814856061027951e-03,2.784119383039144937e-04,1.305751990645358934e-02,4.621638175844980032e-03,5.729999999999999850e-03,1.840000000000000056e-03,5.150000000000000064e-03,1.289999999999999914e-03
8.018263823152736378e-03,1.113647753215657921e-04,1.039868589565120550e-02,2.979007739851884714e-03,3.599999999999999901e-03,1.260000000000000052e-03,3.579999999999999849e-03,8.700000000000000051e-04
7.461439946544907824e-03,4.176179074558716863e-05,8.811737847318892175e-03,1.392059691519572252e-03,2.919999999999999853e-03,1.020000000000000073e-03,2.599999999999999881e-03,6.499999999999999702e-04
6.027618464279748539e-03,5.568238766078289603e-05,7.781613675594409134e-03,8.213152179965476588e-04,1.910000000000000022e-03,7.799999999999999859e-04,1.830000000000000029e-03,6.400000000000000524e-04
5.818809510551812073e-03,2.784119383039144801e-05,6.250348014922879961e-03,5.011414889470460236e-04,1.500000000000000031e-03,6.899999999999999667e-04,1.399999999999999986e-03,3.600000000000000227e-04
4.371067431371456966e-03,0.000000000000000000e+00,5.971936076618965250e-03,3.062531321343059214e-04,1.420000000000000038e-03,4.800000000000000122e-04,1.049999999999999935e-03,3.099999999999999999e-04
3.911687733169998300e-03,0.000000000000000000e+00,4.997494292555264631e-03,2.088089537279358432e-04,1.030000000000000100e-03,4.299999999999999894e-04,9.100000000000000016e-04,2.900000000000000017e-04
3.675037585611671057e-03,0.000000000000000000e+00,4.621638175844980032e-03,1.113647753215657921e-04,9.499999999999999981e-04,3.299999999999999982e-04,8.000000000000000383e-04,2.200000000000000078e-04
2.909404755275906036e-03,0.000000000000000000e+00,4.204020268389108833e-03,1.252853722367615059e-04,6.800000000000000488e-04,2.700000000000000035e-04,6.899999999999999667e-04,1.600000000000000131e-04
2.603151623141600115e-03,0.000000000000000000e+00,3.494069825714126668e-03,4.176179074558716863e-05,7.600000000000000418e-04,1.499999999999999869e-04,5.500000000000000331e-04,1.499999999999999869e-04
2.227295506431315950e-03,0.000000000000000000e+00,3.201737290495016569e-03,1.392059691519572401e-05,4.600000000000000139e-04,1.399999999999999877e-04,5.599999999999999509e-04,2.000000000000000096e-04
1.586948048332312462e-03,0.000000000000000000e+00,2.951166546021493503e-03,1.392059691519572401e-05,4.299999999999999894e-04,2.300000000000000070e-04,3.699999999999999947e-04,9.000000000000000567e-05
1.684392226738682568e-03,0.000000000000000000e+00,2.533548638565621871e-03,0.000000000000000000e+00,4.800000000000000122e-04,1.399999999999999877e-04,4.200000000000000174e-04,1.100000000000000039e-04
1.169330140876440830e-03,0.000000000000000000e+00,2.338660281752881660e-03,0.000000000000000000e+00,2.999999999999999737e-04,1.200000000000000030e-04,3.899999999999999929e-04,1.200000000000000030e-04
1.225012528537223686e-03,0.000000000000000000e+00,2.324739684837685838e-03,0.000000000000000000e+00,3.600000000000000227e-04,1.000000000000000048e-04,3.299999999999999982e-04,6.999999999999999387e-05
1.085806559385266547e-03,0.000000000000000000e+00,1.934962971212205634e-03,0.000000000000000000e+00,3.499999999999999964e-04,1.200000000000000030e-04,2.799999999999999755e-04,6.000000000000000152e-05
7.934740241661562311e-04,0.000000000000000000e+00,1.433821482265159502e-03,0.000000000000000000e+00,2.200000000000000078e-04,6.000000000000000152e-05,2.000000000000000096e-04,8.000000000000000654e-05
5.568238766078289874e-04,0.000000000000000000e+00,1.336377303858789396e-03,0.000000000000000000e+00,2.200000000000000078e-04,9.000000000000000567e-05,1.800000000000000113e-04,4.000000000000000327e-05
5.011414889470460236e-04,0.000000000000000000e+00,1.266774319282810935e-03,0.000000000000000000e+00,2.000000000000000096e-04,6.000000000000000152e-05,1.900000000000000105e-04,1.000000000000000082e-05
4.176179074558716863e-04,0.000000000000000000e+00,8.491564118269390865e-04,0.000000000000000000e+00,2.300000000000000070e-04,9.000000000000000567e-05,2.400000000000000061e-04,3.000000000000000076e-05
2.366501475583272980e-04,0.000000000000000000e+00,9.048387994877220503e-04,0.000000000000000000e+00,1.200000000000000030e-04,9.000000000000000567e-05,1.299999999999999886e-04,4.000000000000000327e-05
2.088089537279358432e-04,0.000000000000000000e+00,7.238710395901776619e-04,0.000000000000000000e+00,2.000000000000000096e-04,3.000000000000000076e-05,1.299999999999999886e-04,6.000000000000000152e-05
2.784119383039144937e-04,0.000000000000000000e+00,5.846650704382204151e-04,0.000000000000000000e+00,1.299999999999999886e-04,1.000000000000000082e-05,2.100000000000000087e-04,1.200000000000000030e-04
1.531265660671529607e-04,0.000000000000000000e+00,6.542680550141989843e-04,0.000000000000000000e+00,1.900000000000000105e-04,4.000000000000000327e-05,1.600000000000000131e-04,6.999999999999999387e-05
1.809677598975444155e-04,0.000000000000000000e+00,5.429032796926332735e-04,0.000000000000000000e+00,2.100000000000000087e-04,1.000000000000000082e-05,1.700000000000000122e-04,3.000000000000000076e-05
